frame_order	sum	raw	gpstimestamp
99	924	924	1533172321
100	924	924	1533172381
101	924	924	1533172471
102	924	924	1533172531
103	924	924	1533172591
104	924	924	1533172651
105	924	924	1533172711
106	924	924	1533172800
107	924	924	1533172860
108	924	924	1533172920
109	924	924	1533172980
110	924	924	1533173040
111	924	924	1533173130
112	924	924	1533173190
113	924	924	1533173250
114	924	924	1533173310
115	924	924	1533173370
116	924	924	1533173459
117	924	924	1533173519
118	924	924	1533173579
119	924	924	1533173639
120	924	924	1533173699
121	924	924	1533173789
122	924	924	1533173848
123	924	924	1533173908
124	924	924	1533173968
125	924	924	1533174028
126	924	924	1533174118
127	924	924	1533174178
128	924	924	1533174238
129	924	924	1533174298
130	924	924	1533174358
131	924	924	1533174447
132	924	924	1533174507
133	924	924	1533174567
134	924	924	1533174627
135	924	924	1533174687
136	924	924	1533174777
137	924	924	1533174837
138	924	924	1533174897
139	924	924	1533174957
140	924	924	1533175017
141	924	924	1533175106
142	924	924	1533175166
143	924	924	1533175223
144	924	924	1533175504
145	924	924	1533175535
146	924	924	1533175543
147	924	924	1533175663
148	924	924	1533175723
149	924	924	1533175783
150	924	924	1533175831
151	922	922	1533175891
152	922	922	1533175951
153	922	922	1533176011
154	922	922	1533176071
155	920	920	1533176131
156	920	920	1533176207
157	920	920	1533176267
158	920	920	1533176327
159	918	918	1533176387
160	918	918	1533176447
161	918	918	1533176557
162	918	918	1533176617
163	916	916	1533176677
164	916	916	1533176737
165	916	916	1533176797
166	916	916	1533176887
167	913	913	1533176947
168	913	913	1533177007
169	913	913	1533177067
170	913	913	1533177127
171	913	913	1533177216
172	913	913	1533177276
173	911	911	1533177336
174	911	911	1533177396
175	911	911	1533177456
176	911	911	1533177545
177	909	909	1533177605
178	909	909	1533177665
179	909	909	1533177725
180	909	909	1533177785
181	907	907	1533177875
182	907	907	1533177935
183	907	907	1533177995
184	907	907	1533178055
185	905	905	1533178115
186	905	905	1533178205
187	905	905	1533178264
188	905	905	1533178324
189	905	905	1533178384
190	903	903	1533178444
191	903	903	1533178534
192	903	903	1533178594
193	903	903	1533178654
194	900	900	1533178714
195	900	900	1533178774
196	900	900	1533178863
197	900	900	1533178923
198	900	900	1533178983
199	900	900	1533179043
200	898	898	1533179103
201	898	898	1533179193
202	898	898	1533179253
203	898	898	1533179313
204	896	896	1533179373
205	896	896	1533179433
206	896	896	1533179522
207	896	896	1533179582
208	894	894	1533179642
209	894	894	1533179702
210	894	894	1533179762
211	894	894	1533179939
212	892	892	1533179999
213	892	892	1533180119
214	892	892	1533180208
215	892	892	1533180235
216	892	892	1533180295
217	892	892	1533181359
218	892	892	1533181688
219	892	892	1533182017
220	892	892	1533182347
221	892	892	1533182698
222	892	892	1533183028
223	892	892	1533183357
224	892	892	1533183687
225	892	892	1533184016
226	892	892	1533184346
227	892	892	1533184675
228	892	892	1533184865
229	892	892	1533184925
230	892	892	1533185004
231	890	890	1533185064
232	890	890	1533185124
233	890	890	1533185184
234	890	890	1533185244
235	887	887	1533185334
236	887	887	1533185394
237	887	887	1533185454
238	887	887	1533185514
239	887	887	1533185574
240	887	887	1533185663
241	885	885	1533185723
242	885	885	1533185783
243	885	885	1533185843
244	885	885	1533185903
245	883	883	1533185993
246	883	883	1533186053
247	883	883	1533186113
248	883	883	1533186173
249	883	883	1533186217
250	883	883	1533186322
251	883	883	1533187007
252	883	883	1533187067
253	883	883	1533187127
254	883	883	1533187187
255	883	883	1533187245
256	883	883	1533187258
257	881	881	1533187309
258	881	881	1533187369
259	881	881	1533187429
260	881	881	1533187489
261	879	879	1533187549
262	879	879	1533187609
263	879	879	1533187642
264	879	879	1533187655
265	879	879	1533187709
266	879	879	1533187719
267	879	879	1533187743
268	879	879	1533187803
269	879	879	1533187814
270	879	879	1533187829
271	877	877	1533187853
272	877	877	1533187891
273	877	877	1533187942
274	877	877	1533187974
275	877	877	1533187982
276	877	877	1533187987
277	877	877	1533188047
278	877	877	1533188107
279	877	877	1533188167
280	877	877	1533188227
281	877	877	1533188287
282	877	877	1533188347
283	877	877	1533188407
284	877	877	1533188412
285	877	877	1533188423
286	877	877	1533188483
287	874	874	1533188490
288	874	874	1533188529
289	874	874	1533188589
290	874	874	1533188649
291	874	874	1533188709
292	874	874	1533188769
293	874	874	1533188829
294	874	874	1533188889
295	874	874	1533188949
296	874	874	1533189009
297	874	874	1533189037
298	874	874	1533189051
299	874	874	1533189093
300	874	874	1533189153
301	874	874	1533189178
302	874	874	1533189206
303	874	874	1533189258
304	874	874	1533189276
305	874	874	1533189336
306	872	872	1533189341
307	872	872	1533189346
308	872	872	1533189406
309	872	872	1533189526
310	871.5	878	1533189586
311	871.5	874	1533189646
312	871	871	1533189706
313	873	873	1533189766
314	873	873	1533189786
315	873	873	1533189833
316	873	873	1533189893
317	873	873	1533189953
318	873	873	1533190013
319	873	873	1533190073
320	872	872	1533190109
321	872	872	1533190169
322	873	873	1533190181
323	873	873	1533190228
324	873	873	1533190288
325	873	873	1533190301
326	873	873	1533190309
327	872	872	1533191502
328	872	872	1533191562
329	872	872	1533191622
330	873	873	1533191682
331	873	873	1533191742
332	873	873	1533191802
333	873	873	1533191862
334	873	873	1533191890
335	872	872	1533191950
336	870	870	1533192010
337	870	870	1533192070
338	869	869	1533192130
339	867	867	1533192190
340	867	867	1533192250
341	867	867	1533192310
342	866	866	1533192370
343	866	866	1533192430
344	866	866	1533192446
345	866	866	1533192506
346	867	867	1533192511
347	867	867	1533192567
348	867	867	1533192627
349	867	867	1533192687
350	867	867	1533192747
351	867	867	1533192765
352	866	866	1533192770
353	866	866	1533192830
354	865	865	1533192890
355	865	865	1533192950
356	865	865	1533193010
357	865	865	1533193070
358	866	866	1533193130
359	866	866	1533193190
360	866	866	1533193250
361	866	866	1533193310
362	866	866	1533193370
363	866	866	1533193430
364	866	866	1533193490
365	867	867	1533193550
366	867	867	1533193610
367	867	867	1533193670
368	867	867	1533193722
369	866	866	1533193767
370	866	866	1533193827
371	866	866	1533193832
372	866	866	1533193849
373	866	866	1533193855
374	866	866	1533193865
375	866	866	1533193917
376	864	864	1533193975
377	863	863	1533193991
378	865	865	1533194051
379	865	865	1533194111
380	862	862	1533194171
381	864	864	1533194231
382	864	864	1533194291
383	862	862	1533194351
384	862	862	1533194411
385	862	862	1533194471
386	862	862	1533194531
387	862	862	1533194591
388	860	860	1533194651
389	859	859	1533194711
390	858	858	1533194771
391	858	858	1533194831
392	857	857	1533194891
393	857	857	1533194951
394	856	856	1533195011
395	855	855	1533195071
396	855	855	1533195131
397	855	855	1533195191
398	852	852	1533195251
399	851	851	1533195311
400	851	851	1533195371
401	849	849	1533195431
402	852	852	1533195491
403	852	852	1533195551
404	848	848	1533195611
405	847	847	1533195671
406	847	847	1533195731
407	847	847	1533195791
408	847	847	1533195851
409	846	846	1533195911
410	845	845	1533195971
411	844	844	1533196031
412	844	844	1533196091
413	844	844	1533196151
414	840	840	1533196211
415	841	841	1533196271
416	841	841	1533196331
417	841	841	1533196391
418	841	841	1533196451
419	841	841	1533196511
420	841	841	1533196631
421	841	841	1533196691
422	841	841	1533196751
423	839	839	1533196811
424	839	839	1533196871
425	842	842	1533196931
426	838	838	1533196991
427	836	836	1533197051
428	840	840	1533197111
429	837	837	1533197171
430	837	837	1533197231
431	837	837	1533197291
432	835	835	1533197351
433	834	834	1533197411
434	833	833	1533197471
435	833	833	1533197531
436	830	830	1533197591
437	830	830	1533197651
438	830	830	1533197711
439	829	829	1533197771
440	829	829	1533197831
441	829	829	1533197891
442	830	830	1533197951
443	830	830	1533198011
444	831	831	1533198071
445	829	829	1533198131
446	829	829	1533198191
447	829	829	1533198251
448	829	829	1533198311
449	827	827	1533198371
450	829	829	1533198431
451	827	827	1533198491
452	827	827	1533198551
453	826	826	1533198611
454	826	826	1533198671
455	826	826	1533198731
456	826	826	1533198791
457	826	826	1533198851
458	826	826	1533198911
459	826	826	1533198971
460	826	826	1533199031
461	826	826	1533199091
462	827	827	1533199151
463	825	825	1533199211
464	825	825	1533199271
465	825	825	1533199331
466	825	825	1533199391
467	825	825	1533199451
468	827	827	1533199511
469	823	823	1533199571
470	822	822	1533199609
471	825	825	1533199669
472	822	822	1533199728
473	819	819	1533199834
474	819	819	1533199906
475	820	820	1533199943
476	820	820	1533199953
477	819	819	1533200005
478	820	820	1533200019
479	820	820	1533200025
480	820	820	1533200085
481	820	820	1533200145
482	821	821	1533200190
483	819	819	1533200250
484	819	819	1533200262
485	821	821	1533200280
486	821	821	1533200285
487	823	823	1533200301
488	823	823	1533200312
489	822	822	1533200372
490	821	821	1533200419
491	820	820	1533200434
492	820	820	1533200439
493	820	820	1533200446
494	820	820	1533200451
495	820	820	1533200457
496	821	821	1533200462
497	821	821	1533200508
498	821	821	1533200518
499	821	821	1533200525
500	821	821	1533200530
501	821	821	1533200545
502	821	821	1533200550
503	821	821	1533200555
504	822	822	1533200560
505	822	822	1533200565
506	823	823	1533200570
507	823	823	1533200575
508	823	823	1533200580
509	821	821	1533200609
510	821	821	1533200621
511	821	821	1533200626
512	821	821	1533200631
513	821	821	1533200641
514	821	821	1533200646
515	821	821	1533200656
516	821	821	1533200667
517	821	821	1533200673
518	820	820	1533200678
519	820	820	1533200683
520	820	820	1533200708
521	820	820	1533200738
522	819	819	1533200746
523	820	820	1533200806
524	820	820	1533200857
525	820	820	1533200866
526	819	819	1533200926
527	822	822	1533200976
528	822	822	1533200981
529	822	822	1533200986
530	821	821	1533200992
531	821	821	1533200997
532	821	821	1533201002
533	821	821	1533201007
534	822	822	1533201016
535	822	822	1533201021
536	822	822	1533201026
537	822	822	1533201035
538	822	822	1533201069
539	821	821	1533201082
540	820	820	1533201142
541	820	820	1533201202
542	820	820	1533201262
543	820	820	1533201322
544	820	820	1533201382
545	820	820	1533201442
546	820	820	1533201502
547	820	820	1533201562
548	820	820	1533201622
549	820	820	1533201682
550	820	820	1533201742
551	820	820	1533201802
552	820	820	1533201862
553	820	820	1533201922
554	820	820	1533201982
555	820	820	1533202042
556	820	820	1533202102
557	820	820	1533202162
558	820	820	1533202222
559	820	820	1533202282
560	820	820	1533202342
561	820	820	1533202402
562	820	820	1533202462
563	819	819	1533202522
564	820	820	1533202582
565	820	820	1533202642
566	820	820	1533202702
567	819	819	1533202742
568	820	820	1533202747
569	820	820	1533202807
570	819	819	1533202848
571	819	819	1533202904
572	820	820	1533202931
573	820	820	1533202991
574	816	816	1533203051
575	817	817	1533203056
576	817	817	1533203116
577	817	817	1533203128
578	814	814	1533203176
579	814	814	1533203236
580	818	818	1533203262
581	818	818	1533203322
582	817	817	1533203382
583	815	815	1533203442
584	819	819	1533203502
585	815	815	1533203562
586	815	815	1533203622
587	815	815	1533203682
588	815	815	1533203742
589	814	814	1533203802
590	815	815	1533203862
591	815	815	1533203922
592	815	815	1533203982
593	815	815	1533204042
594	812	812	1533204102
595	813	813	1533204162
596	814	814	1533204222
597	812	812	1533204282
598	812	812	1533204342
599	811	811	1533204402
600	811	811	1533204462
601	810	810	1533204522
602	810	810	1533204582
603	810	810	1533204642
604	809	809	1533204702
605	809	809	1533204762
606	807	807	1533204822
607	809	809	1533204942
608	808	808	1533205002
609	811	811	1533205062
610	807	807	1533205116
611	807	807	1533205154
612	811	811	1533207893
613	810	810	1533210377
614	810	810	1533210437
615	810	810	1533210497
616	811	811	1533210553
617	811	811	1533210613
618	811	811	1533210618
619	811	811	1533210678
620	811	811	1533210706
621	811	811	1533210738
622	809	809	1533210744
623	808	808	1533210750
624	808	808	1533210810
625	809	809	1533210870
626	809	809	1533210930
627	809	809	1533210990
628	809	809	1533211050
629	809	809	1533211110
630	809	809	1533211170
631	809	809	1533211230
632	809	809	1533211290
633	809	809	1533211350
634	809	809	1533211410
635	809	809	1533211470
636	808.5	802	1533211516
637	808.5	803	1533211576
638	808.5	803	1533211620
639	808.5	805	1533211649
640	808.5	806	1533211657
641	808	808	1533211717
642	802	802	1533211777
643	801	801	1533211837
644	801	801	1533211897
645	806	806	1533211957
646	806	806	1533211976
647	806	806	1533211984
648	806	806	1533211991
649	806	806	1533211997
650	800	800	1533212057
651	800	800	1533212117
652	801	801	1533212177
653	801	801	1533212237
654	801	801	1533212297
655	801	801	1533212357
656	801	801	1533212417
657	800	800	1533212477
658	800	800	1533212537
659	800	800	1533212597
660	801	801	1533212717
661	801	801	1533212739
662	801	801	1533212799
663	802	802	1533212846
664	801	801	1533212902
665	801	801	1533212909
666	801	801	1533212969
667	801	801	1533212993
668	801	801	1533212998
669	801	801	1533213003
670	801	801	1533213009
671	801	801	1533213040
672	801	801	1533213046
673	799	799	1533213055
674	799	799	1533213061
675	799	799	1533213081
676	799	799	1533213086
677	800	800	1533213096
678	800	800	1533213102
679	800	800	1533213118
680	800	800	1533213126
681	800	800	1533213144
682	800	800	1533213155
683	800	800	1533213160
684	800	800	1533213165
685	800	800	1533213225
686	800	800	1533213285
687	800	800	1533213345
688	800	800	1533213405
689	800	800	1533213465
690	800	800	1533213525
691	800	800	1533213585
692	800	800	1533213645
693	800	800	1533213688
694	800	800	1533213693
695	800	800	1533213698
696	800	800	1533213703
697	800	800	1533213708
698	800	800	1533213716
699	800	800	1533213722
700	800	800	1533213727
701	800	800	1533213732
702	801	801	1533213748
703	801	801	1533213754
704	801	801	1533213759
705	801	801	1533213764
706	801	801	1533213770
707	801	801	1533213780
708	801	801	1533213789
709	801	801	1533213794
710	799	799	1533213839
711	800	800	1533213899
712	800	800	1533213959
713	799	799	1533214019
714	800	800	1533214079
715	800	800	1533214139
716	800	800	1533214199
717	800	800	1533214259
718	800	800	1533214319
719	800	800	1533214379
720	800	800	1533214439
721	800	800	1533214499
722	800	800	1533214559
723	800	800	1533214619
724	800	800	1533214679
725	800	800	1533214739
726	800	800	1533214799
727	800	800	1533214859
728	801	801	1533214919
729	801	801	1533214979
730	801	801	1533215039
731	801	801	1533215099
732	801	801	1533215159
733	801	801	1533215219
734	801	801	1533215279
735	801	801	1533215339
736	801	801	1533215399
737	801	801	1533215459
738	801	801	1533215519
739	801	801	1533215579
740	801	801	1533215639
741	801	801	1533215699
742	801	801	1533215759
743	801	801	1533215819
744	801	801	1533215879
745	801	801	1533215939
746	801	801	1533215999
747	801	801	1533216059
748	801	801	1533216119
749	801	801	1533216179
750	801	801	1533216239
751	801	801	1533216299
752	801	801	1533216359
753	801	801	1533216380
754	801	801	1533216396
755	799	799	1533216456
756	799	799	1533216480
757	799	799	1533216527
758	799	799	1533216587
759	799	799	1533216647
760	798	798	1533216707
761	798	798	1533216767
762	798	798	1533216827
763	798	798	1533216887
764	798	798	1533216947
765	798	798	1533217007
766	799	799	1533217067
767	799	799	1533217127
768	799	799	1533217187
769	799	799	1533217247
770	801	801	1533217363
771	801	801	1533217423
772	798	798	1533217483
773	798	798	1533217543
774	798	798	1533217603
775	797	797	1533217663
776	797	797	1533217723
777	797	797	1533217783
778	797	797	1533217843
779	797	797	1533217903
780	795	795	1533217963
781	798	798	1533218023
782	802	802	1533218083
783	795	795	1533218143
784	795	795	1533218203
785	791	791	1533218263
786	794	794	1533218323
787	793	793	1533218383
788	791	791	1533218443
789	792	792	1533218503
790	790	790	1533218563
791	789	789	1533218623
792	791	791	1533218683
793	788	788	1533218743
794	788	788	1533218803
795	788	788	1533218863
796	787	787	1533218923
797	787	787	1533218983
798	787	787	1533219043
799	786	786	1533219103
800	786	786	1533219163
801	792	792	1533219223
802	792	792	1533219283
803	790	790	1533219343
804	790	790	1533219403
805	790	790	1533219463
806	790	790	1533219523
807	788	788	1533219583
808	788	788	1533219643
809	788	788	1533219703
810	788	788	1533219763
811	786	786	1533219823
812	786	786	1533219883
813	786	786	1533219943
814	786	786	1533220003
815	783	783	1533220063
816	783	783	1533220123
817	783	783	1533220183
818	783	783	1533220243
819	783	783	1533220303
820	781	781	1533220363
821	781	781	1533220423
822	781	781	1533220483
823	781	781	1533220543
824	779	779	1533220603
825	779	779	1533220663
826	779	779	1533220723
827	779	779	1533220783
828	777	777	1533220843
829	777	777	1533220903
830	777	777	1533220963
831	777	777	1533221023
832	775	775	1533221083
833	775	775	1533221143
834	775	775	1533221203
835	773	773	1533221263
836	773	773	1533221296
837	773	773	1533221356
838	773	773	1533221372
839	773	773	1533221379
840	773	773	1533221384
841	773	773	1533221569
842	773	773	1533221584
843	773	773	1533221644
844	773	773	1533221649
845	770	770	1533221673
846	770	770	1533221681
847	770	770	1533221699
848	770	770	1533221759
849	770	770	1533221780
850	770	770	1533221840
851	770	770	1533221854
852	770	770	1533221866
853	770	770	1533221926
854	770	770	1533221986
855	770	770	1533222026
856	770	770	1533222034
857	770	770	1533222055
858	770	770	1533222060
859	770	770	1533222120
860	770	770	1533222141
861	768	768	1533222180
862	768	768	1533222185
863	768	768	1533222222
864	768	768	1533222282
865	768	768	1533222294
866	768	768	1533222347
867	768	768	1533222378
868	768	768	1533222383
869	768	768	1533222388
870	768	768	1533222393
871	768	768	1533222398
872	768	768	1533222440
873	768	768	1533223553
874	768	768	1533223613
875	768	768	1533223638
876	768	768	1533223643
877	768	768	1533223703
878	768	768	1533223713
879	768	768	1533223773
880	768	768	1533223778
881	768	768	1533223838
882	768	768	1533223843
883	768	768	1533223890
884	768	768	1533223895
885	768	768	1533224425
886	768	768	1533224441
887	768	768	1533224446
888	766	766	1533224468
889	766	766	1533224528
890	766	766	1533224534
891	766	766	1533224539
892	766	766	1533224599
893	766	766	1533224659
894	766	766	1533224719
895	766	766	1533224779
896	766	766	1533224839
897	766	766	1533224959
898	766	766	1533225019
899	766	766	1533225079
900	766	766	1533225139
901	766	766	1533225199
902	766	766	1533225259
903	766	766	1533225319
904	766	766	1533225379
905	766	766	1533225439
906	766	766	1533225499
907	766	766	1533225559
908	766	766	1533225619
909	766	766	1533225679
910	766	766	1533225739
911	766	766	1533225799
912	766	766	1533225859
913	766	766	1533225919
914	766	766	1533225979
915	766	766	1533226099
916	766	766	1533226159
917	766	766	1533226219
918	766	766	1533226279
919	766	766	1533226339
920	766	766	1533226399
921	766	766	1533226459
922	766	766	1533226519
923	766	766	1533226579
924	766	766	1533226639
925	766	766	1533226699
926	766	766	1533226759
927	766	766	1533226819
928	766	766	1533226879
929	766	766	1533226939
930	766	766	1533226999
931	766	766	1533227059
932	766	766	1533227119
933	766	766	1533227179
934	766	766	1533227239
935	766	766	1533227299
936	766	766	1533227359
937	766	766	1533227419
938	766	766	1533227479
939	766	766	1533227539
940	766	766	1533227599
941	766	766	1533227659
942	766	766	1533227719
943	766	766	1533227779
944	766	766	1533227839
945	766	766	1533227899
946	766	766	1533227959
947	766	766	1533228019
948	766	766	1533228079
949	766	766	1533228139
950	766	766	1533228199
951	766	766	1533228259
952	766	766	1533228319
953	766	766	1533228379
954	766	766	1533228439
955	766	766	1533228499
956	766	766	1533228559
957	766	766	1533228619
958	766	766	1533228678
959	766	766	1533228739
960	766	766	1533228799
961	766	766	1533228858
962	766	766	1533228919
963	766	766	1533228978
964	766	766	1533229038
965	766	766	1533229098
966	766	766	1533229158
967	766	766	1533229218
968	766	766	1533229278
969	766	766	1533229338
970	766	766	1533229398
971	766	766	1533229458
972	766	766	1533229518
973	766	766	1533229578
974	766	766	1533229638
975	766	766	1533229698
976	766	766	1533229758
977	766	766	1533229818
978	766	766	1533229878
979	766	766	1533229938
980	766	766	1533229998
981	766	766	1533230058
982	766	766	1533230118
983	766	766	1533230178
984	766	766	1533230238
985	766	766	1533230298
986	766	766	1533230358
987	766	766	1533230418
988	766	766	1533230478
989	766	766	1533230538
990	766	766	1533230598
991	766	766	1533230658
992	766	766	1533230718
993	766	766	1533230778
994	766	766	1533230838
995	766	766	1533230898
996	766	766	1533230958
997	766	766	1533231018
998	766	766	1533231078
999	766	766	1533231198
1000	766	766	1533231258
1001	766	766	1533231318
1002	766	766	1533231378
1003	766	766	1533231438
1004	766	766	1533231498
1005	766	766	1533231558
1006	766	766	1533231618
1007	766	766	1533231678
1008	766	766	1533231738
1009	766	766	1533231798
1010	766	766	1533231858
1011	766	766	1533231918
1012	766	766	1533231978
1013	766	766	1533232038
1014	766	766	1533232098
1015	766	766	1533232158
1016	766	766	1533232218
1017	766	766	1533232278
1018	766	766	1533232338
1019	766	766	1533232398
1020	766	766	1533232458
1021	766	766	1533232518
1022	766	766	1533232578
1023	766	766	1533232638
1024	766	766	1533232698
1025	766	766	1533232758
1026	766	766	1533232818
1027	766	766	1533232878
1028	766	766	1533232938
1029	766	766	1533232998
1030	766	766	1533233058
1031	766	766	1533233118
1032	766	766	1533233178
1033	766	766	1533233238
1034	766	766	1533233298
1035	766	766	1533233358
1036	766	766	1533233418
1037	766	766	1533233478
1038	766	766	1533233538
1039	766	766	1533233598
1040	766	766	1533233658
1041	766	766	1533233718
1042	766	766	1533233778
1043	766	766	1533233838
1044	766	766	1533233898
1045	766	766	1533233958
1046	766	766	1533233963
1047	766	766	1533234022
1048	766	766	1533234049
1049	766	766	1533234057
1050	764	764	1533234077
1051	764	764	1533234137
1052	764	764	1533234167
1053	764	764	1533234227
1054	764	764	1533234287
1055	764	764	1533234292
1056	764	764	1533234344
1057	764	764	1533234404
1058	764	764	1533234464
1059	764	764	1533234524
1060	764	764	1533234584
1061	764	764	1533234644
1062	764	764	1533234704
1063	764	764	1533234824
1064	764	764	1533234884
1065	764	764	1533234898
1066	764	764	1533234958
1067	764	764	1533235018
1068	764	764	1533235025
1069	764	764	1533235030
1070	764	764	1533235038
1071	764	764	1533235067
1072	762	762	1533235106
1073	762	762	1533235111
1074	762	762	1533235116
1075	762	762	1533235139
1076	762	762	1533235144
1077	762	762	1533235149
1078	762	762	1533235155
1079	762	762	1533235163
1080	762	762	1533235227
1081	762	762	1533235252
1082	762	762	1533235285
1083	762	762	1533235291
1084	762	762	1533235296
1085	762	762	1533235301
1086	762	762	1533235310
1087	762	762	1533235316
1088	762	762	1533235321
1089	762	762	1533235326
1090	762	762	1533235331
1091	762	762	1533235336
1092	762	762	1533235342
1093	762	762	1533237220
1094	762	762	1533237549
1095	762	762	1533237879
1096	762	762	1533238208
1097	762	762	1533238234
1098	762	762	1533238294
1099	762	762	1533238354
1100	762	762	1533238367
1101	762	762	1533238389
1102	762	762	1533238445
1103	762	762	1533238585
1104	760	760	1533238645
1105	760	760	1533238705
1106	760	760	1533238765
1107	760	760	1533238867
1108	758	758	1533238927
1109	758	758	1533238987
1110	758	758	1533239047
1111	758	758	1533239107
1112	758	758	1533239197
1113	758	758	1533239257
1114	758	758	1533239316
1115	754	754	1533239376
1116	754	754	1533239437
1117	754	754	1533239526
1118	754	754	1533239586
1119	754	754	1533239646
1120	754	754	1533239706
1121	754	754	1533239766
1122	754	754	1533239855
1123	750	750	1533239915
1124	750	750	1533239975
1125	750	750	1533240035
1126	750	750	1533240095
1127	750	750	1533240187
1128	750	750	1533240245
1129	750	750	1533240305
1130	746	746	1533240365
1131	746	746	1533240425
1132	746	746	1533240514
1133	746	746	1533240574
1134	746	746	1533240634
1135	746	746	1533240694
1136	746	746	1533240754
1137	746	746	1533240846
1138	742	742	1533240904
1139	742	742	1533240964
1140	742	742	1533241024
1141	742	742	1533241084
1142	742	742	1533241173
1143	742	742	1533241233
1144	742	742	1533241293
1145	737	737	1533241353
1146	737	737	1533241413
1147	737	737	1533241503
1148	737	737	1533241563
1149	737	737	1533241623
1150	737	737	1533241683
1151	737	737	1533241743
1152	737	737	1533241832
1153	737	737	1533241892
1154	737	737	1533241952
1155	733	733	1533242012
1156	733	733	1533242072
1157	733	733	1533242162
1158	733	733	1533242222
1159	733	733	1533242282
1160	733	733	1533242342
1161	733	733	1533242402
1162	729	729	1533242491
1163	729	729	1533242551
1164	729	729	1533242593
1165	729	729	1533242653
1166	729	729	1533242713
1167	729	729	1533242718
1168	729	729	1533242820
1169	729	729	1533242880
1170	729	729	1533242940
1171	729	729	1533242945
1172	729	729	1533243005
1173	729	729	1533243065
1174	729	729	1533243150
1175	729	729	1533243157
1176	729	729	1533243213
1177	729	729	1533243222
1178	729	729	1533243234
1179	729	729	1533243241
1180	729	729	1533243255
1181	729	729	1533243261
1182	729	729	1533243266
1183	729	729	1533243271
1184	729	729	1533243276
1185	729	729	1533243298
1186	729	729	1533243358
1187	729	729	1533243479
1188	729	729	1533243539
1189	729	729	1533243599
1190	729	729	1533243659
1191	729	729	1533243719
1192	729	729	1533243809
1193	729	729	1533243869
1194	729	729	1533243929
1195	729	729	1533243989
1196	729	729	1533244049
1197	729	729	1533244138
1198	729	729	1533244198
1199	729	729	1533244258
1200	729	729	1533244318
1201	729	729	1533244378
1202	729	729	1533244468
1203	729	729	1533244528
1204	729	729	1533244588
1205	729	729	1533244648
1206	729	729	1533244708
1207	729	729	1533244797
1208	729	729	1533244857
1209	729	729	1533244917
1210	729	729	1533244977
1211	729	729	1533245037
1212	729	729	1533245127
1213	729	729	1533245187
1214	729	729	1533245247
1215	729	729	1533245307
1216	729	729	1533245367
1217	729	729	1533245456
1218	729	729	1533245516
1219	729	729	1533245576
1220	729	729	1533245636
1221	729	729	1533245696
1222	729	729	1533245701
1223	729	729	1533245785
1224	729	729	1533245845
1225	729	729	1533245905
1226	725	725	1533245949
1227	725	725	1533246009
1228	725	725	1533246115
1229	725	725	1533246175
1230	725	725	1533246235
1231	725	725	1533246295
1232	725	725	1533246355
1233	721	721	1533246444
1234	721	721	1533246504
1235	721	721	1533246564
1236	721	721	1533246624
1237	721	721	1533246684
1238	721	721	1533246774
1239	721	721	1533246796
1240	721	721	1533246802
1241	721	721	1533246814
1242	721	721	1533246820
1243	721	721	1533246825
1244	721	721	1533246830
